Timestamp,Grid Row,Grid Column,People,Temp (°C),Humidity (%),Windows Open,AC/Fan On,No of AC/Fans,No of Devices,Height,Area,Outside Temp (°C),Outside Humidity (%),Precipitation
2026-03-06 08:30:00,A,G1,0,26.4,85.0,0,off,0,0,0ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,A,G2,0,26.4,84.0,0,off,0,0,0ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,A,G3,3,26.5,86.0,0,off,0,0,0ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,B,G1,0,26.5,85.0,0,off,0,0,3ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,B,G2,1,26.4,85.0,0,off,0,0,3ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,B,G3,0,26.3,84.0,0,off,0,0,3ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,C,G1,0,26.3,84.0,0,off,0,0,6ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,C,G2,0,26.4,84.0,0,off,0,0,6ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,C,G3,2,26.2,84.0,2,off,0,0,6ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,D,G1,1,26.7,85.0,0,off,0,0,9ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,D,G2,1,26.6,85.0,0,off,0,0,9ft,12.5,25.7,83.0,No
2026-03-06 08:30:00,D,G3,0,26.5,84.0,0,off,0,0,9ft,12.5,25.7,83.0,No
2026-03-06 16:37:00,A,G1,3,33.9,58.0,4,off,0,0,0ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,A,G2,1,33.5,58.0,0,off,0,0,0ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,A,G3,1,33.5,56.0,2,off,0,0,0ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,B,G1,2,33.1,57.0,3,off,0,0,3ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,B,G2,2,33.1,58.0,0,off,0,0,3ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,B,G3,2,33.1,58.0,1,off,0,0,3ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,C,G1,6,33.1,56.0,4,off,0,0,6ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,C,G2,2,33.5,57.0,0,off,0,0,6ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,C,G3,5,33.5,56.0,4,off,0,0,6ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,D,G1,3,33.1,55.0,3,off,0,0,9ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,D,G2,4,33.1,56.0,0,off,0,0,9ft,12.5,33.9,53.0,No
2026-03-06 16:37:00,D,G3,5,33.1,57.0,3,off,0,0,9ft,12.5,33.9,53.0,No
2026-03-06 17:30:00,A,G1,0,30.3,70.0,0,off,0,0,0ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,A,G2,2,30.4,71.0,0,off,0,0,0ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,A,G3,0,30.2,70.0,0,off,0,0,0ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,B,G1,2,30.2,69.0,3,off,0,0,3ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,B,G2,2,30.5,72.0,0,off,0,0,3ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,B,G3,0,30.3,70.0,0,off,0,0,3ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,C,G1,0,30.5,70.0,0,off,0,0,6ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,C,G2,0,30.3,71.0,0,off,0,0,6ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,C,G3,0,30.5,70.0,0,off,0,0,6ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,D,G1,0,30.6,71.0,0,off,0,0,9ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,D,G2,0,30.5,71.0,0,off,0,0,9ft,12.5,29.7,69.0,No
2026-03-06 17:30:00,D,G3,1,30.2,69.0,3,off,0,0,9ft,12.5,29.7,69.0,No
2026-03-07 08:30:00,A,G1,0,26.3,82.0,0,off,0,0,0ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,A,G2,0,26.2,83.0,0,off,0,0,0ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,A,G3,0,26.4,82.0,0,off,0,0,0ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,B,G1,0,26.4,82.0,0,off,0,0,3ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,B,G2,0,26.4,82.0,0,off,0,0,3ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,B,G3,0,26.4,82.0,0,off,0,0,3ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,C,G1,0,26.4,83.0,0,off,0,0,6ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,C,G2,0,26.5,83.0,0,off,0,0,6ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,C,G3,1,26.5,82.0,0,off,0,1,6ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,D,G1,0,26.5,82.0,0,off,0,0,9ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,D,G2,1,26.6,83.0,0,off,0,1,9ft,12.5,25.7,81.0,No
2026-03-07 08:30:00,D,G3,1,26.7,83.0,0,off,0,1,9ft,12.5,25.7,81.0,No
2026-03-07 14:45:00,A,G1,0,33.4,55.0,0,off,0,0,0ft,12.5,34.2,54.0,No
2026-03-07 14:45:00,A,G2,0,33.3,55.0,0,off,0,0,0ft,12.5,34.2,54.0,No
2026-03-07 14:45:00,A,G3,0,33.2,55.0,0,off,0,0,0ft,12.5,34.2,54.0,No
2026-03-07 14:45:00,B,G1,1,33.3,55.0,0,off,0,0,3ft,12.5,34.2,54.0,No
2026-03-07 14:45:00,B,G2,0,33.4,55.0,0,off,0,0,3ft,12.5,34.2,54.0,No
2026-03-07 14:45:00,B,G3,1,33.4,55.0,0,off,0,0,3ft,12.5,34.2,54.0,No
